English Title	Original Title	Year	Duration(min)	Decade	Country	Director	Director's Gender	Writer	Writer's Gender	DP	DP's Gender	Producer	Producer's Gender	Genre	Wikidata ID	IMDb ID
The Cabbage Fairy	La Fée aux Choux	1896	1	1890s	FRA	Alice Guy-Blaché	female	Alice Guy	female					Family/ Fantasy	Q1139999	tt0223341
A Trip to the Moon	Le Voyage dans la Lune	1902	16	1900s	FRA	Georges Méliès	male	Georges Méliès	male	Lucien Tainguy	male	Georges Méliès	male	Action/ Adventure	Q244971	tt0000417
Life of an American Fireman	Life of an American Fireman	1903	6	1900s	USA	Edwin Stanton Porter/ George S. Fleming	male/ male	Edwin Stanton Porter	male	Edwin Stanton Porter	male			Action	Q1824475	tt0000447
The Great Train Robbery	The Great Train Robbery	1903	12	1900s	USA	Edwin Stanton Porter	male	Edwin Stanton Porter	male			Edwin Stanton Porter	male	Action/ Adventure	Q470329	tt0000439
Rescued by Rover	Rescued by Rover	1905	6	1900s	GBR	Lewin Fitzhamon/ Cecil Hepworth	male/ male	Mrs. Hepworth	female	Cecil Hepworth	male	Cecil Hepworth	male	Crime/ Drama	Q1333248	tt0000498
A Corner in Wheat	A Corner in Wheat	1909	14	1900s	USA	D. W. Griffith	male	D. W. Griffith/ Frank E. Woods	male/ male	Billy Bitzer	male			Crime/ Drama	Q1984935	tt0000832
The Abyss	Afgrunden	1910	38	1910s	DNK	Urban Gad	male	Urban Gad	male	Alfred Lind	male			Drama	Q320483	tt0001105
The Lonedale Operator	The Lonedale Operator	1911	17	1910s	USA	D. W. Griffith	male	Mack Sennett	male	Billy Bitzer	male	D. W. Griffith	male	Drama/ Romance	Q3988072	tt0001740
Fantomas: In the Shadow of the Guillotine	Fantômas	1913	54	1910s	FRA	Louis Feuillade	male	Louis Feuillade	male			Romeo Bosetti	male	Crime/ Drama	Q31208392	tt0002844
Suspense	Suspense	1913	10	1910s	USA	Phillips Smalley/ Lois Weber	male/ female	Lois Weber	female					Drama/ Thriller	Q13652328	tt0003424
Cabiria	Cabiria	1914	168	1910s	ITA	Giovanni Pastrone	male	Gabriele D'Annunzio/ Giovanni Pastrone/ Emilio Salgari	male/ male/ male	Eugenio Bava/ Segundo de Chomón/ Giovanni Tomatis/ Augusto Battagliotti/ Natale Chiusano/ Carlo Franzeri	male/ male/ male/ male/ male/ male	Giovanni Pastrone	male	Adventure/ Drama/ History	Q1024861	tt0003740
The Squaw Man	The Squaw Man	1914	74	1910s	USA	Oscar Apfel/ Cecil B. DeMille	male/ male	Cecil B. DeMille/ Oscar Apfel	male/ male			Cecil B. DeMille	male	Action/ Drama/ Romance	Q2613688	tt0004635
The Birth of a Nation	The Birth of a Nation	1915	187	1910s	USA	D. W. Griffith	male	D. W. Griffith/ Frank E. Woods/ Thomas Dixon Jr.	male/ male/ male	Billy Bitzer	male	D. W. Griffith	male	Drama/ History/ War	Q220394	tt0004972
Carmen	Carmen	1915	59	1910s	USA	Cecil B. DeMille	male	William Churchill deMille	male	Alvin Wyckoff	male	Jesse Louis Lasky	male	Drama	Q1749069	tt0005060
Burlesque on Carmen	Burlesque on Carmen	1915	37	1910s	USA	Charlie Chaplin/ Leo White	male/ male	Charlie Chaplin	male	Roland Totheroh	male	Jess Robbins	male	Comedy	Q268879	tt0005077
Intolerance	Intolerance	1916	197	1910s	USA	D. W. Griffith	male	D. W. Griffith/ Tod Browning/ Anita Loos/ Frank E. Woods	male/ male/ female/ male	Billy Bitzer/ Karl Brown	male/ male	D. W. Griffith	male	Drama/ History	Q192206	tt0006864
The Cabinet of Dr. Caligari	Das Cabinet des Dr. Caligari	1920	77	1920s	DEU	Robert Wiene	male	Hans Janowitz/ Carl Mayer	male/ male	Willy Hameister	male	Rudolf Meinert/ Erich Pommer	male/ male	Horror/ Mystery/ Thriller	Q153886	tt0010323
One Week	One Week	1920	22	1920s	USA	Edward F. Cline/ Buster Keaton	male/ male	Edward F. Cline/ Buster Keaton	male/ male	Elgin Lessley	male	Joseph M. Schenck	male	Comedy	Q966597	tt0011541
Rhythmus 21	Rhythmus 21	1921	4	1920s	DEU	Hans Richter	male	Hans Richter	male			Hans Richter	male	Animation	Q59725808	tt0012620
Destiny	Der müde Tod	1921	105	1920s	DEU	Fritz Lang	male	Thea von Harbou/ Fritz Lang	female/ male	Bruno Mondi/ Bruno Timm/ Fritz Arno Wagner/ Erich Nitzschmann	male/ male/ male/ male	Erich Pommer	male	Drama/ Fantasy/ Horror	Q1199484	tt0012494
Nosferatu	Nosferatu – Eine Symphonie des Grauens	1922	94	1920s	DEU	F. W. Murnau	male	Henrik Galeen	male	Günther Krampf/ Fritz Arno Wagner	male/ male	Albin Grau	male	Fantasy/ Horror	Q151895	tt0013442
Nanook of the North	Nanook of the North	1922	78	1920s	FRA/ USA	Robert J. Flaherty	male	Robert J. Flaherty/ Frances H. Flaherty	male/ female	Robert J. Flaherty	male	Robert J. Flaherty	male	Documentary	Q918401	tt0013427
Dr. Mabuse the Gambler	Dr. Mabuse, der Spieler	1922	270	1920s	DEU	Fritz Lang	male	Fritz Lang/ Thea von Harbou	male/ female	Carl Hoffmann	male	Erich Pommer	male	Crime/ Mystery/ Thriller	Q65295621	tt0013086
'A Santanotte	'A Santanotte	1922	60	1920s	ITA	Elvira Notari	female	E. Scala	male					Drama/ Romance	Q104538924	tt0227985
The Ten Commandments	The Ten Commandments	1923	146	1920s	USA	Cecil B. DeMille	male	Jeanie MacPherson	female	Edward S. Curtis/ Bert Glennon/ John Peverell Marley/ Ray Rennahan/ Archie Stout	male/ male/ male/ male/ male	Cecil B. DeMille	male	Biography/ Drama/ Fantasy	Q1217715	tt0014532
La Roue	La Roue	1923	273	1920s	FRA	Abel Gance	male	Abel Gance	male	Léonce-Henri Burel	male	Charles Pathé	male	Drama	Q2445020	tt0014417
Entr'acte	Entr'acte	1924	22	1920s	FRA	René Clair	male	Francis Picabia/ René Clair	male/ male			Rolf de Maré	male	Short	Q1345290	tt0014872
Ballet Mécanique	Ballet Mécanique	1924	19	1920s	FRA	Fernand Léger/ Dudley Murphy	male/ male	Fernand Léger	male	Dudley Murphy/ Man Ray	male/ male	André Charlot	male	Short	Q805227	tt0014694
Greed	Greed	1924	462	1920s	USA	Erich von Stroheim	male	Joseph Farnham/ Erich von Stroheim/ June Mathis	male/ male/ female	William H. Daniels/ Ben F. Reynolds/ Ernest B. Schoedsack	male/ male/ male	Irving Thalberg/ Louis B. Mayer	male/ male	Drama/ Thriller/ Western	Q690583	tt0015881
Battleship Potemkin	Bronenosets Potyomkin	1925	74	1920s	SUN	Sergei Eisenstein	male	Sergei Eisenstein/ Nikolai Aseev/ Sergei Tretyakov/ Nina Agadzhanova-Shutko	male/ male/ male/ female	Eduard Tisse/ Vladimir Uralsky	male/ male	Yakov Bliokh	male	Drama/ History/ Thriller	Q152350	tt0015648
Strike	Стачка	1925	82	1920s	SUN	Sergei Eisenstein	male	Grigori Aleksandrov/ Sergei Eisenstein/ Ilya Kravchunovsky/ Valerian Pletnev	male/ male/ male/ male	Eduard Tisse	male			Drama	Q151177	tt0015361
The Gold Rush	The Gold Rush	1925	96	1920s	USA	Charlie Chaplin	male	Charlie Chaplin	male	Roland Totheroh	male	Charlie Chaplin	male	Adventure/ Comedy/ Drama	Q214723	tt0015864
A Page of Madness	Kurutta Ichipeiji	1926	60	1920s	JPN	Teinosuke Kinugasa	male	Yasunari Kawabata	male			Teinosuke Kinugasa	male	Drama/ Horror/ Thriller	Q1165285	tt0017048
Mother	Мать	1926	88	1920s	SUN	Vsevolod Pudovkin	male	Nathan Zarkhi	male	Anatoli Golovnya	male			Drama	Q1214957	tt0017128
October: Ten Days That Shook the World	Oktyabr	1927	102	1920s	SUN	Grigori Aleksandrov/ Sergei Eisenstein	male/ male	Grigori Aleksandrov/ Sergei Eisenstein	male/ male	Eduard Tisse	male			Drama/ History	Q1156836	tt0018217
The Jazz Singer	The Jazz Singer	1927	88	1920s	USA	Alan Crosland	male	Alfred A. Cohn/ Samson Raphaelson	male/ male	Hal Mohr	male	Darryl F. Zanuck	male	Drama/ Music/ Musical	Q465087	tt0018037
Berlin: Symphony of a Metropolis	Berlin – Die Sinfonie der Großstadt	1927	65	1920s	DEU	Walter Ruttmann	male	Karl Freund/ Carl Mayer/ Walter Ruttmann	male/ male/ male	Robert Baberske/ László Schäffer/ Reimar Kuntze/ Karl Freund	male/ male/ male/ male	Karl Freund	male	Documentary	Q632362	tt0017668
Sunrise: A Song of Two Humans	Sunrise: A Song of Two Humans	1927	91	1920s	USA	F. W. Murnau	male	Carl Mayer/ Hermann Sudermann	male/ male	Charles Rosher/ Karl Struss	male/ male	William Fox	male	Drama/ Romance	Q431093	tt0018455
The General	The General	1927	75	1920s	USA	Buster Keaton/ Clyde Bruckman	male/ male	Al Boasberg/ Paul Girard Smith/ Clyde Bruckman/ Charles Henry Smith/ William Pittenger/ Buster Keaton	male/ male/ male/ male/ male/ male	Devereux Jennings/ Bert Haines	male/ male	Buster Keaton/ Joseph M. Schenck	male/ male	Action/ Adventure/ Comedy	Q850159	tt0017925
Napoléon	Napoléon	1927	330	1920s	DEU/ FRA/ ITA	Abel Gance	male	Abel Gance	male	Jules Kruger/ Georges Meyer/ Léonce-Henri Burel	male/ male/ male	Abel Gance	male	Biography/ Drama/ History	Q1632158	tt0018192
Metropolis	Metropolis	1927	153	1920s	DEU	Fritz Lang	male	Fritz Lang/ Thea von Harbou	male/ female	Karl Freund/ Günther Rittau/ Walter Ruttmann	male/ male/ male	Erich Pommer	male	Drama/ Sci-Fi	Q151599	tt0017136
The Fall of the Romanov Dinasty	Padenie dinastii Romanovykh	1927	90	1920s	SUN	Esfir Shub	female	V.I. Lenin/ Esfir Shub	male/ female					Documentary/ History		tt0018246
Steamboat Willie	Steamboat Willie	1928	7	1920s	USA	Walt Disney/ Ub Iwerks	male/ male	Walt Disney/ Ub Iwerks	male/ male			Roy O. Disney/ Walt Disney	male/ male	Animation/  Comedy	Q816038	tt0019422
The Passion of Joan of Arc	La Passion de Jeanne d'Arc	1928	110	1920s	FRA	Carl Theodor Dreyer	male	Joseph Delteil/ Carl Theodor Dreyer	male/ male	Rudolph Maté	male			Biography/ Drama/ History	Q51520	tt0019254
The Fall of the House of Usher	La Chute de la maison Usher	1928	61	1920s	FRA	Jean Epstein	male	Luis Buñuel/ Jean Epstein	male/ male			Jean Epstein	male	Drama/ Fantasy/ Horror	Q1747223	tt0018770
The Seashell and the Clergyman	La Coquille et le Clergyman	1928	44	1920s	FRA	Germaine Dulac	female	Antonin Artaud	male			Germaine Dulac	female	Short	Q934068	tt0017775
The Crowd	The Crowd	1928	104	1920s	USA	King Vidor	male	King Vidor	male	Henry Sharp	male	Irving Thalberg	male	Drama/ Romance	Q1304986	tt0018806
Man with a Movie Camera	Chelovek s kino-apparatom	1929	68	1920s	SUN	Dziga Vertov	male	Dziga Vertov	male	Mikhail Kaufman	male			Documentary/ Music	Q829250	tt0019760
Rain	Regen	1929	12	1920s	NLD	Joris Ivens/ Mannus Franken	male/ male	Mannus Franken/ Joris Ivens	male/ male	Joris Ivens	male	Mannus Franken	male	Documentary/  History	Q1057777	tt0020321
Un chien andalou	Un chien andalou	1929	16	1920s	FRA	Luis Buñuel	male	Salvador Dalí/ Luis Buñuel	male/ male			Pierre Braunberger/ Luis Buñuel/ Salvador Dalí	male/ male/ male	Fantasy/ Horror	Q190575	tt0020530
Pandora's Box	Die Büchse der Pandora	1929	143	1920s	DEU	Georg Wilhelm Pabst	male	Ladislaus Vajda/ Georg Wilhelm Pabst	male/ male	Günther Krampf	male	Seymour Nebenzal	male	Crime/ Drama/ Romance	Q700736	tt0018737
Drifters	Drifters	1929	49	1920s	GBR	John Grierson	male	John Grierson	male	Basil Emmott	male	John Grierson	male	Documentary	Q545692	tt0019838
Morocco	Morocco	1930	88	1930s	USA	Josef von Sternberg	male	Jules Furthman/ Benno Vigny	male/ male	Lee Garmes/ Lucien Ballard	male/ male	Hector Turnbull	male	Drama/ Romance	Q577754	tt0021156
